,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
MAT2B,Up,,,Up
MIER1,Up,,,Up
MKNK1,Up,Up,,
MLLT6,Up,,,Up
MTMR10,Up,,,Up
MVB12A,Up,Up,,
NCALD,Up,Up,,
NEK7,Up,,,Up
NFKB2,,Up,,Up
NLRC5,Up,Up,,
NOD1,Up,Up,,
NT5E,Up,Up,,
NTNG2,Up,,Up,
PANX1,Up,,,Up
PDIA5,,Up,,Up
PI4K2B,Up,,,Up
PIM2,Up,,,Up
PLCH1,Up,Up,,
PLEKHF2,Up,,,Up
PLEKHG1,Up,Up,,
POU3F2,Up,,Up,
PPA1,Up,,,Up
PPFIA2,Up,Up,,
PPIB,,Up,,Up
PPIC,Up,Up,,
PPP2R2B,Up,,,Up
PPP2R5B,Up,Up,,
PRKCQ,Up,Up,,
PRRG4,Up,Up,,
PRSS23,Up,,,Up
PSMA5,Up,,,Up
PXDC1,Up,Up,,
RABGAP1L,Up,Up,,
RAD9A,Up,Up,,
RCN1,Up,Up,,
RELL1,Up,Up,,
RET,Up,,Up,
RNASET2,Up,Up,,
S100A6,Up,Up,,
SCARB2,Up,,,Up
SCLT1,Up,Up,,
SCLY,Up,Up,,
SDF2L1,Up,Up,,
SEC61B,,,Up,Up
SEPT6,,Up,,Up
SETX,Up,Up,,
SHROOM3,Up,,,Up
SIK1,Up,Up,,
SIX4,Up,Up,,
SLC30A1,,Up,,Up
SLC7A5,,Up,,Up
SLC8A1,Up,Up,,
SLFN11,Up,,,Up
SMPD3,Up,Up,,
SPATA13,Up,,,Up
SPG11,,Up,Up,
SPINK1,Up,Up,,
ST14,,Up,,Up
STK3,Up,,,Up
TARS,,Up,,Up
TICAM1,Up,Up,,
TJP2,Up,,,Up
TLK2,Up,Up,,
TLN2,Up,Up,,
TMEM179B,Up,,Up,
TNS1,Up,,Up,
TRIP12,Up,,,Up
UBE2O,Up,,,Up
USP42,Up,,,Up
WDFY1,Up,,,Up
WDR48,,,Up,Up
XIAP,Up,,Up,
YEATS2,Up,Up,,
ZBTB33,Up,,,Up
ZC3H12A,Up,Up,,
ZNF503,Up,Up,,
ZRSR2,Up,Up,,
AASS,Up,,,
ABCB1,Up,,,
ABCC6,Up,,,
ACAA1,Up,,,
ACADS,,,,Up
ACOT1,,Up,,
ACOT7,Up,,,
ACOT9,Up,,,
ADD1,,,,Up
ADPRHL2,Up,,,
ADRA2A,,,Up,
AGA,,,,Up
AGR2,,Up,,
AIDA,Up,,,
AIFM2,,,,Up
AKAP10,,,,Up
ALS2,,Up,,
ANAPC7,,,,Up
ANK2,Up,,Down,Down
ANKMY2,,,,Up
ANO5,Up,,,
ANO9,,Up,,
ANXA2,,Up,,
AP1G2,,,,Up
AP2M1,,,,Up
AP3B1,Up,,,
AP4B1,,,,Up
APBA1,Down,,Up,Down
ARHGAP18,,,Up,
ARHGEF5,,,,Up
ARL5B,,,,Up
ARMCX6,,,,Up
ARPC5L,,,Up,
ARSB,Up,,,
ASCC3,Up,,,
ASPHD1,,,Up,
ASPHD2,Up,,,
ATAD5,,,Up,
ATOX1,Up,,,
ATP6V0A1,Up,,,
ATP6V1C2,Up,,,
ATP6V1D,,,,Up
ATP6V1H,,,,Up
ATRIP,,Up,,
B3GALNT1,Up,,,
BCCIP,,,,Up
BET1L,,,,Up
BOLA3,Up,,,
BRAP,,,,Up
BRD2,,Up,,
BRWD3,Up,,,Down
BSCL2,Up,,,
BTBD2,,,,Up
C17ORF62,,,,Up
C19ORF54,,,Up,
C1GALT1C1,Up,,,
C1ORF116,,,,Up
C1ORF198,,,Up,
C22ORF42,Up,,,Down
C3ORF58,Up,,,
C4ORF3,Up,,,
C5ORF15,Up,,,
C7ORF25,,,,Up
C7ORF26,,,,Up
CACNG5,Down,,Up,Down
CADM3,Up,,,
CALR,,Up,,
CAMKMT,,,,Up
CARD8,Up,,,
CASKIN1,,,Up,Down
CAST,Up,,,
CASZ1,,,,Up
CBWD2,,,Up,
CBX4,,,,Up
CCDC9,Up,,,
CCDC90B,,,,Up
CCDC91,,,,Up
CCHCR1,,,,Up
CCND3,,,,Up
CCNL1,,,,Up
CCSER1,Up,,,
CD2AP,Up,,,
CD36,Up,,,
CD63,,,Up,
CDC26,Up,,,Down
CDCP1,Up,,,
CDH16,Up,,,
CDHR5,,Up,,
CDK10,,,Up,
CDKN1B,,,,Up
CEP164,Up,,,
CEP170,,,Up,
CHCHD5,,,Up,Down
CHCHD7,,,,Up
CHD6,,Up,,Down
CHD8,Up,,,
CHIC2,,,Up,
CIR1,Up,,,
CKS1B,Up,,,Down
CLIC4,,,,Up
CLPTM1L,,,,Up
CMC2,,,,Up
CNEP1R1,,,,Up
CNIH4,,,Up,
CNN3,Up,,,
COASY,Up,,,
COG4,,,,Up
COPB1,,,,Up
COPG1,,,,Up
COPS8,,,,Up
CPQ,,,,Up
CREM,Up,,,
CRIM1,Up,,,
CSNK1G1,Up,,,
CTBS,Up,,,
CTNNBL1,Up,,,
CTTNBP2,,Up,,
CUL4B,Up,,,
CXCL12,,,,Up
CYHR1,,,,Up
CYLD,Up,,,
CYP4V2,Up,,,
DCAF10,,,,Up
DCAF8,,,,Up
DCBLD1,Up,,,
DCTN1,,,,Up
DDX24,,,,Up
DDX31,,,,Up
DECR1,Up,,,
DENND4B,,,Up,
DNAJC15,Up,,,Down
DNAL1,,,Up,
DNALI1,,,Up,
DNASE2,,Up,,
DOLK,,,,Up
DPEP1,,,,Up
DPH2,,,,Up
DPY19L1,,,,Up
DRAP1,Up,,,
DTNA,,Up,,
DYNC1H1,Up,,,
ECHDC2,,,Up,
EFR3A,Up,,,
EIF4A2,,,,Up
EIF4E,,,,Up
EIF4E3,,,Up,
ELAVL2,Up,,,
ELK1,Up,,,
ELOVL7,Up,,,
EMB,Up,,,
EMC7,Up,,,
EMC9,Up,,,
ENPP1,,,,Up
EPB41L1,,,,Up
EPB41L3,,,,Up
ERCC2,,,,Up
ERN1,,,,Up
ERP44,Up,,,
ESRRG,Up,,,
EXOSC9,Up,,,
EZH2,,,Down,Up
EZR,,,,Up
F2RL1,,,Up,
F3,,Up,,
FAAH2,Up,,,
FAM109A,,,Up,
FAM114A2,,,,Up
FAM117A,,,,Up
FAM135A,Up,,,
FAM160B2,,,,Up
FAM193A,,,,Up
FAM45A,,,,Up
FAM76B,,,,Up
FAM83E,,,Up,
FASTKD3,,,Up,
FBXO28,,,Up,
FBXO7,Up,,,
FN1,Up,,,
FNDC3B,,,,Up
FNIP1,,Up,,
FPGS,,,,Up
FRAS1,Up,,,
FRY,,Up,,
GAB1,Up,,,
GABPB1,,,Up,
GALNT3,Up,,,
GALT,,,,Up
GATAD1,,,,Up
GC,,Up,Down,
GDI2,Up,,,
GEN1,,,Up,Down
GFOD2,,,,Up
GFPT1,,,,Up
GGA3,,,Up,
GLCCI1,,,Up,
GLCE,,,,Up
GLIPR2,Up,,,
GLRX,Up,,,
GLUL,,,,Up
GMIP,,Up,,
GMPR2,,,,Up
GNG5,Up,,,
GNL3,,,,Up
GON4L,,,,Up
GOSR2,,,,Up
GPBP1,Up,,,
GPD2,Up,,,
GPX2,,Up,,
GRIK2,,,Up,
GRIPAP1,,,,Up
GRK5,,,,Up
GSTK1,Up,,,
GTF2F2,,,,Up
H1F0,,Up,,
H2AFX,,,Up,
HAUS3,,,,Up
HAUS4,,,Up,
HERPUD2,Up,,,
HEXDC,Up,,,
HHAT,Up,,,
HIBCH,,,,Up
HIST1H1C,,Up,,
HIST3H2BB,,,Up,
HIVEP1,Up,,,
HNF1A,,,Up,
HNRNPLL,Up,,,
HOOK2,,,,Up
HSCB,Up,,,
HSD3B7,Up,,,
HSPA14,,,Up,Down
HSPA1A,,,,Up
IGFBP3,Up,,,
IGFBP4,,Up,Down,
IGSF8,Up,,,
IKZF4,,,,Up
IL13RA1,Up,,,
IL6ST,,,Up,
INA,,,Down,Up
INTS12,Up,,,
IPPK,,,,Up
IRAK4,Up,,,
IRF2BPL,,,,Up
ITCH,,,Up,Down
ITGA1,Up,,,
ITGA6,Up,,,Down
JUNB,,,Up,
KARS,Up,,,
KAT2B,Up,,,
KBTBD2,,,,Up
KCNA3,Up,,,
KCNJ2,,Up,,
KCNS3,Up,,,
KCTD1,Up,,,
KDM4A,,,Up,
KDM6A,Up,,,
KIAA0368,Up,,,
KIAA1107,Up,,,
KIAA1191,,,,Up
KIAA1468,,,,Up
KIF16B,,,,Up
KLHL12,,,,Up
KLHL41,,Up,,
KMT2D,,Up,,Down
KPNA5,Up,,,
KRTCAP2,Up,,,
LACTB,Up,,Down,
LAMP2,,,Up,
LAPTM4B,Up,,,
LARS2,Up,,,
LBH,,Up,,
LIMA1,Up,,,
LIMCH1,,,Up,
LLPH,,,,Up
LMO4,Up,,,
LMO7,Up,,,
LPIN1,,,,Up
LRCH1,,,,Up
LRRC20,,,Up,
LSM4,,,,Up
LSR,Up,,,
LZTR1,,,,Up
MAD1L1,,,,Up
MADD,,,,Up
MAF,Up,,,
MAGEA6,,,,Up
MAGED2,,,,Up
MAGOHB,Up,,Down,
MAGT1,Up,,,
MAML1,,,Up,
MAMLD1,,Up,,
MANF,Up,,,
MAP4K4,,,Up,
MAPK12,,,Up,
MAPK8IP2,,,,Up
MARCKS,,,,Up
MAST3,,,Up,
MAT2A,,,,Up
MBD1,,,,Up
MCC,,,,Up
MCL1,Up,,,
ME2,Up,,,
ME3,Up,,,
METAP2,,,,Up
METTL22,,,,Up
MGRN1,,,,Up
MICAL1,,,,Up
MICAL3,,,,Up
MICU3,,,,Up
MID1,,,Up,
MIS12,,,,Up
MKNK2,,,,Up
MLLT3,Up,,,
MMAA,Up,,,
MMP14,,,Up,
MOB1A,Up,,,
MPPE1,Up,,,
MRPL17,Up,,,Down
MRPL40,Up,,,
MSRB1,,,Up,
MTG2,,,,Up
MTMR4,,,Up,
MYCBP2,Up,,,
MYL12A,Up,,,
NASP,Up,,,
NAT1,,Up,,
NCOA3,Up,,,
NDN,,,,Up
NDOR1,,,,Up
NDUFA9,Up,,,
NDUFAF5,,,Up,
NDUFS4,Up,,,
NECAP1,Up,,,
NEDD1,Up,,,
NEDD4,,Up,,
NEDD9,,,,Up
NEO1,,,Up,Down
NFASC,,,,Up
NISCH,,,,Up
NKTR,,,Up,Down
NLGN2,,Up,,
NME1-NME2,Up,,,
NME7,Up,,,
NMNAT2,Up,,,
NOL7,,,,Up
NQO2,Up,,,
NRBP1,,,,Up
NRIP1,,,,Up
NSF,,,,Up
NSL1,,,Up,
NUCB1,Up,,,
NUDT2,Up,,,
NUDT4,,,,Up
NUDT7,Up,,,
OGDH,,,,Up
OSBP2,,Down,Up,Down
PABPC4,,,Up,
PAK2,,,,Up
PAM,,,Up,
PAN2,,,Up,
PAPD5,,,,Up
PARD3,,,,Up
PATL1,Up,,,
