,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
CDH3,,,,Down
CDH4,,,Down,
CDHR2,,,Down,
CDIP1,,,,Down
CDIPT,,,,Down
CDK1,,,,Down
CDK11B,,,,Down
CDK12,,,Down,
CDK13,,,,Down
CDK14,,,,Down
CDK16,Down,,,
CDK19,,Down,,
CDK2,,,,Down
CDK2AP1,,,,Down
CDK2AP2,,,,Down
CDK4,,,,Down
CDK5,,,,Down
CDK5R2,,Down,,
CDK5RAP1,,,,Down
CDK5RAP2,,,,Down
CDK5RAP3,,,,Down
CDK7,,,,Down
CDK8,,,,Down
CDK9,,Down,,
CDKAL1,,,,Down
CDKN1C,,,,Down
CDKN2A,,,,Down
CDKN2AIP,,,,Down
CDKN2AIPNL,,,,Down
CDKN2B,,,,Down
CDKN2C,,,,Down
CDKN2D,,,,Down
CDON,,,Down,
CDR2L,,,,Down
CDS1,,,,Down
CDS2,,,,Down
CDT1,,,,Down
CDV3,,,,Down
CDX2,,,,Down
CDYL,,,,Down
CDYL2,,,Down,
CEBPA,,,Down,
CEBPG,,,Down,
CEBPZ,,,,Down
CELF1,,,,Down
CELF2,,,Down,
CELF3,,,,Down
CELF4,,,,Down
CELSR2,,,,Down
CELSR3,,,Down,
CEND1,,,,Down
CENPB,Down,,,
CENPC,,,Down,
CENPE,,,,Down
CENPF,,,,Down
CENPH,,,,Down
CENPI,,,,Down
CENPK,,,,Down
CENPL,,,,Down
CENPM,,Down,,
CENPN,,,,Down
CENPO,,,Down,
CENPP,,,,Down
CENPQ,,,Down,
CENPT,,,,Down
CENPV,,,,Down
CENPW,,,,Down
CEP104,,,,Down
CEP112,,,,Down
CEP120,,,,Down
CEP128,,,,Down
CEP135,,,,Down
CEP152,,Down,,
CEP170B,,,,Down
CEP19,,,Down,
CEP192,,,,Down
CEP250,,,,Down
CEP290,,,,Down
CEP350,,,,Down
CEP41,,,,Down
CEP44,,,Down,
CEP55,,,,Down
CEP57,,Down,,
CEP63,,Down,,
CEP68,,Down,,
CEP76,,,Down,
CEP78,,Down,,
CEP85,,,Down,
CEP85L,,Down,,
CEP89,,Down,,
CEP97,,Down,,
CEPT1,,,,Down
CERCAM,,,Down,
CERK,,Down,,
CERKL,,,,Down
CERS1,,,Down,
CERS2,,Down,,
CERS5,,Down,,
CERS6,,Down,,
CETN2,,,,Down
CETN3,,,Down,
CFC1,,Down,,
CFC1B,,Down,,
CFDP1,,Down,,
CFL1,,,Down,
CFL2,,,Down,
CGGBP1,,Down,,
CGN,,Down,,
CGNL1,,,,Down
CGREF1,,,,Down
CGRRF1,,,,Down
CHAC2,,,Down,
CHAF1A,,,Down,
CHAF1B,,,Down,
CHAMP1,,,,Down
CHCHD1,,,Down,
CHCHD10,,,,Down
CHCHD2,,,Down,
CHCHD3,,Down,,
CHCHD4,,,,Down
CHCHD6,,,,Down
CHD1,,,,Down
CHD1L,,,,Down
CHD2,,,,Down
CHD3,,,Down,
CHD4,,,,Down
CHD7,,,,Down
CHD9,,,,Down
CHDH,,,,Down
CHEK1,,,Down,
CHEK2,,,Down,
CHERP,,,Down,
CHFR,,,,Down
CHGA,,,,Down
CHGB,,,,Down
CHID1,,,,Down
CHKA,Down,,,
CHKB,,,,Down
CHM,,,Down,
CHML,,,Down,
CHMP1A,,,Down,
CHMP1B,,,,Down
CHMP2A,,,,Down
CHMP2B,,,Down,
CHMP3,,,,Down
CHMP4B,,,,Down
CHMP4C,,,Down,
CHMP6,,,,Down
CHMP7,,,,Down
CHN1,,,,Down
CHN2,,,Down,
CHODL,,,,Down
CHP1,,,,Down
CHPF,,,,Down
CHPF2,,,,Down
CHPT1,,,,Down
CHRAC1,Down,,,
CHRNA5,,,Down,
CHRNB2,,,Down,
CHST10,Down,,,
CHST12,,,Down,
CHST14,,,,Down
CHST2,,,,Down
CHST7,,,,Down
CHST8,,,,Down
CHST9,,,Down,
CHSY1,,,Down,
CHTF18,,,,Down
CHTF8,,,Down,
CHTOP,,,Down,
CHUK,,,Down,
CHURC1,,,,Down
CHURC1-FNTB,,,,Down
CIAO1,,Down,,
CIAPIN1,,,,Down
CIB1,,,,Down
CIC,,,,Down
CINP,,,,Down
CIRBP,,,,Down
CISD1,Down,,,
CISD2,,,,Down
CISD3,,,Down,
CIT,,,,Down
CIZ1,,,,Down
CKAP2,,Down,,
CKAP2L,,,,Down
CKAP4,,,,Down
CKAP5,Down,,,
CKB,,,,Down
CKMT1A,,,,Down
CKS2,,,,Down
CLASP1,,,,Down
CLASP2,,,,Down
CLASRP,,Down,,
CLCC1,,,,Down
CLCN3,,,,Down
CLCN4,,,,Down
CLCN5,,,,Down
CLCN6,,,Down,
CLCN7,,,Down,
CLDN1,,,Down,
CLDN12,,,,Down
CLDN18,,,Down,
CLDN3,,,,Down
CLDN7,,,,Down
CLDND1,,,,Down
CLEC16A,,,,Down
CLGN,,,Down,
CLIC1,,,,Down
CLINT1,,,,Down
CLIP1,,,Down,
CLIP2,,,,Down
CLK1,,,,Down
CLK2,,,Down,
CLK3,,,,Down
CLK4,,,,Down
CLN5,,,,Down
CLN6,,,,Down
CLN8,,,Down,
CLNS1A,,,,Down
CLOCK,,,,Down
CLP1,,,Down,
CLPB,,,,Down
CLPP,,,,Down
CLPTM1,,Down,,
CLPX,,,,Down
CLRN3,,,,Down
CLSPN,,,,Down
CLSTN1,,,Down,
CLSTN3,,,,Down
CLTA,,,,Down
CLTB,,,,Down
CLTC,,,,Down
CLTCL1,Down,,,
CLU,,,,Down
CLUAP1,,,Down,
CLUH,,,,Down
CLYBL,,,,Down
CMAS,Down,,,
CMBL,,,,Down
CMC4,,,,Down
CMIP,,,,Down
CMPK1,,,Down,
CMSS1,,,,Down
CMTM3,,,,Down
CMTM4,,,,Down
CMTM6,,,,Down
CMTM8,,,,Down
CNBP,,,Down,
CNDP2,,,,Down
CNGA3,,,,Down
CNIH2,,,,Down
CNKSR3,,,,Down
CNNM2,,,,Down
CNNM3,,,Down,
CNNM4,,,,Down
CNOT1,,,,Down
CNOT10,,,Down,
CNOT11,,,,Down
CNOT2,,,,Down
CNOT3,,,,Down
CNOT4,,,,Down
CNOT6L,,,,Down
CNOT7,,,,Down
CNOT8,,,Down,
CNPY2,,,,Down
CNPY3,,,Down,
CNPY4,,,,Down
CNRIP1,,,,Down
CNST,,Down,,
CNTLN,,,,Down
CNTN1,,,,Down
CNTN4,Down,,,
CNTNAP2,,,,Down
CNTNAP3,,,,Down
CNTRL,Down,,,
CNTROB,,,,Down
COA1,,,,Down
COA3,,,,Down
COA4,,,,Down
COA5,,,,Down
COA6,,,,Down
COBLL1,,,,Down
COCH,,,,Down
COG1,,,,Down
COG2,,,,Down
COG3,,,,Down
COG5,,,,Down
COG6,,,,Down
COG7,,,Down,
COG8,,,Down,
COIL,,,,Down
COL18A1,,,,Down
COL22A1,,,,Down
COL4A1,,,Down,
COL4A2,,,,Down
COL4A3BP,,,Down,
COL6A1,,,,Down
COL6A2,,,,Down
COL7A1,,,,Down
COL9A2,,,Down,
COLGALT1,,,,Down
COMMD1,,,,Down
COMMD10,,,,Down
COMMD2,,,Down,
COMMD3,,,,Down
COMMD4,,,,Down
COMMD5,,,,Down
COMMD6,,,,Down
COMMD7,,,,Down
COMMD8,,Down,,
COMMD9,,,,Down
COMP,,,,Down
COMT,,Down,,
COMTD1,,,,Down
COPA,,,,Down
COPB2,,Down,,
COPE,,,,Down
COPG2,Down,,,
COPRS,Down,,,
COPS2,,,,Down
COPS3,,,,Down
COPS4,,Down,,
COPS5,,,,Down
COPS6,,,,Down
COPS7A,,,,Down
COPS7B,,,,Down
COPZ1,,,Down,
COQ10A,Down,,,
COQ10B,,,,Down
COQ2,Down,,,
COQ3,,,,Down
COQ4,,,,Down
COQ5,,,,Down
COQ6,,,,Down
COQ7,,,,Down
COQ9,,,,Down
CORO1A,,,,Down
CORO1B,,,,Down
CORO1C,,,,Down
CORO7,,,,Down
COTL1,,Down,,
COX10,,,,Down
COX11,,,,Down
COX14,,,,Down
COX15,,,,Down
COX16,,,,Down
COX17,,,,Down
COX18,,,,Down
COX19,,,,Down
COX20,,,Down,
COX4I1,,,Down,
COX5A,,,,Down
COX5B,,,,Down
COX6A1,,,,Down
COX6B1,Down,,,
COX6C,,Down,,
COX7A2,,,,Down
COX7A2L,,,,Down
COX7B,,,Down,
COX7C,,,,Down
COX8A,,,,Down
CPA1,,,,Down
CPD,Down,,,
CPE,,,,Down
CPEB4,,,,Down
CPLX1,,,Down,
CPLX2,,,Down,
CPM,,,,Down
CPNE1,,,Down,
CPNE2,,,Down,
CPNE3,,,,Down
CPOX,,,Down,
CPPED1,,,,Down
CPSF1,,,,Down
CPSF2,,,,Down
CPSF3,,,,Down
CPSF4,,,Down,
CPSF6,,,,Down
CPSF7,,,,Down
CPT1A,,,Down,
CPT1C,,,,Down
CPT2,,Down,,
CRADD,,Down,,
CRAT,,,Down,
CRB3,,,Down,
CRBN,,,,Down
CRCP,,,Down,
CREB1,,,,Down
CREBBP,,,,Down
CREBZF,Down,,,
CREG1,,,Down,
CRELD1,,,Down,
CRELD2,,,,Down
CRIP2,,,Down,
CRIPT,,,,Down
CRISPLD1,,,,Down
CRK,,,,Down
CRKL,,,,Down
CRLF3,,,,Down
CRLS1,,,,Down
CRMP1,,,,Down
CRNKL1,,,,Down
CROCC,,,,Down
CROT,,,Down,
CRTAP,,,,Down
CRTC1,,,Down,
CRTC2,,,,Down
CRTC3,,,,Down
CRY1,,,Down,
CRY2,,,,Down
CRYBA2,,,Down,
CRYBG3,,,,Down
CRYGD,,,Down,
CRYL1,,,,Down
CRYM,,,,Down
CRYZ,,,,Down
CRYZL1,,,Down,
CS,,,,Down
CSDE1,,,,Down
CSE1L,,,,Down
CSGALNACT2,,,,Down
CSK,,,Down,
CSNK1A1,,,Down,
CSNK1D,,,Down,
CSNK1G2,,,,Down
CSNK1G3,,,,Down
CSNK2A1,,,,Down
CSNK2A2,,,,Down
CSNK2B,,,,Down
CSRP1,,Down,,
CSRP2,,,,Down
CST3,,,,Down
CSTB,,,,Down
CSTF1,,,,Down
CSTF2,,,Down,
CSTF2T,,,,Down
CSTF3,,,Down,
CTBP1,Down,,,
CTBP2,,,Down,
CTC1,,,,Down
CTCF,,,,Down
CTDNEP1,,,,Down
CTDP1,,,,Down
CTDSP1,,,,Down
CTDSP2,,,,Down
CTDSPL,,,,Down
CTDSPL2,,,,Down
CTIF,,,Down,
CTNNA1,,,,Down
CTNNA2,,,,Down
CTNNAL1,,,Down,
CTNNB1,,,,Down
CTNNBIP1,,,,Down
CTNND1,,,,Down
CTNND2,,,,Down
CTPS1,,,Down,
CTPS2,,,,Down
CTR9,,,,Down
CTSA,,,,Down
CTSB,,,Down,
CTSD,,,,Down
CTSF,,,Down,
CTSL,,,,Down
CTSV,,,,Down
CTTN,,,Down,
CTTNBP2NL,,,,Down
CTU1,,,,Down
CTU2,,,,Down
CUEDC2,,,,Down
CUL1,,,,Down
CUL2,,,,Down
CUL3,,,,Down
CUL4A,,,,Down
CUL5,,,,Down
CUL7,,,,Down
CUL9,,,,Down
CUTA,,,,Down
CUTC,,,Down,
CUX1,,,,Down
CWC15,,,,Down
CWC22,,,Down,
CWC25,,,,Down
CWC27,,,Down,
CWF19L2,,,Down,
CXADR,,,Down,
CXORF56,,,Down,
CXORF57,,,,Down
CXXC1,,,Down,
CXXC4,,Down,,
CXXC5,,,,Down
CYB561,,,Down,
CYB561A3,,,Down,
CYB5A,,,Down,
CYB5B,,,,Down
CYB5D2,,,,
CYB5R1,,,,
CYB5R3,,,,
CYB5R4,,,,
CYC1,,,,
CYCS,,,,
CYFIP1,,,,
CYFIP2,,,,
CYP1A1,,,,
CYP20A1,,,,
CYP27A1,,,,
CYP2U1,,,,
CYP46A1,,,,
CYP4F3,,,,
CYP51A1,,,,
CYP7B1,,,,
CYS1,,,,
CYSTM1,,,,
CYTH2,,,,
D2HGDH,,,,
DAAM1,,,,
DACH1,,,,
DACH2,,,,
DAD1,,,,
DAG1,,,,
DAGLA,,,,
DAGLB,,,,
DAP,,,,
DAP3,,,,
DAPK1,,,,
DAPK3,,,,
DARS,,,,
DARS2,,,,
DAXX,,,,
DAZAP1,,,,
DBI,,,,
DBN1,,,,
DBNDD1,,,,
DBNL,,,,
DBR1,,,,
DBT,,,,
DCAF11,,,,
DCAF13,,,,
DCAF16,,,,
DCAF6,,,,
DCAF7,,,,
DCAKD,,,,
DCDC2,,,,
DCHS1,,,,
DCK,,,,
DCLK2,,,,
DCP1B,,,,
DCP2,,,,
DCPS,,,,
DCTD,,,,
DCTN2,,,,
DCTN3,,,,
DCTN4,,,,
DCTN5,,,,
DCTN6,,,,
DCTPP1,,,,
DCUN1D1,,,,
DCUN1D2,,,,
DCUN1D3,,,,
DCUN1D4,,,,
DCUN1D5,,,,
DCX,,,,
DCXR,,,,
DDA1,,,,
DDAH1,,,,
DDAH2,,,,
DDB1,,,,
DDB2,,,,
DDC,,,,
DDHD1,,,,
DDHD2,,,,
DDI2,,,,
DDOST,,,,
DDR1,,,,
DDRGK1,,,,
DDT,,,,
DDTL,,,,
DDX1,,,,
DDX10,,,,
DDX11,,,,
DDX17,,,,
DDX18,,,,
DDX19A,,,,
DDX19B,,,,
DDX20,,,,
DDX21,,,,
DDX23,,,,
DDX25,,,,
DDX27,,,,
DDX28,,,,
DDX39A,,,,
DDX39B,,,,
DDX3X,,,,
DDX3Y,,,,
DDX41,,,,
DDX42,,,,
DDX46,,,,
DDX47,,,,
DDX49,,,,
DDX5,,,,
DDX50,,,,
DDX51,,,,
DDX52,,,,
DDX54,,,,
DDX55,,,,
DDX56,,,,
DDX59,,,,
DDX6,,,,
DEAF1,,,,
DECR2,,,,
DEF8,,,,
DEGS1,,,,
DEK,,,,
DENND1A,,,,
DENND2A,,,,
DENND4A,,,,
DENND4C,,,,
DENND5B,,,,
DENND6A,,,,
DENR,,,,
DEPDC1B,,,,
DEPDC5,,,,
DERA,,,,
DERL1,,,,
DERL2,,,,
DESI1,,,,
DESI2,,,,
DET1,,,,
DFFA,,,,
DFFB,,,,
DGAT1,,,,
DGCR2,,,,
DGCR6,,,,
DGCR6L,,,,
DGCR8,,,,
DGKD,,,,
DGKQ,,,,
DGKZ,,,,
DGUOK,,,,
DHCR24,,,,
DHCR7,,,,
DHDDS,,,,
DHFR,,,,
DHODH,,,,
DHPS,,,,
DHRS1,,,,
DHRS11,,,,
DHRS13,,,,
DHRS2,,,,
DHRS3,,,,
DHRS4,,,,
DHRS4L2,,,,
DHRS7,,,,
DHRS7B,,,,
DHRSX,,,,
DHTKD1,,,,
DHX15,,,,
DHX16,,,,
DHX29,,,,
DHX30,,,,
DHX32,,,,
DHX33,,,,
DHX34,,,,
DHX35,,,,
DHX36,,,,
DHX37,,,,
DHX38,,,,
DHX40,,,,
DHX57,,,,
DHX8,,,,
DHX9,,,,
DIABLO,,,,
DIAPH1,,,,
DIAPH2,,,,
DIAPH3,,,,
DICER1,,,,
DIDO1,,,,
DIEXF,,,,
DIMT1,,,,
DIP2A,,,,
DIP2B,,,,
DIP2C,,,,
DIRAS1,,,,
DIRC2,,,,
DIS3,,,,
DIS3L,,,,
DIS3L2,,,,
DISP2,,,,
DKC1,,,,
DKK3,,,,
DLAT,,,,
DLD,,,,
DLG1,,,,
DLG2,,,,
DLG3,,,,
DLG4,,,,
DLG5,,,,
DLGAP4,,,,
DLGAP5,,,,
DLL4,,,,
DLST,,,,
DLX6,,,,
DMAP1,,,,
DMD,,,,
DMPK,,,,
DMTN,,,,
DMXL1,,,,
DMXL2,,,,
DNA2,,,,
DNAAF2,,,,
DNAH14,,,,
DNAJA2,,,,
DNAJA3,,,,
DNAJA4,,,,
DNAJB1,,,,
DNAJB11,,,,
DNAJB12,,,,
DNAJB14,,,,
DNAJB2,,,,
DNAJB4,,,,
DNAJB5,,,,
DNAJB6,,,,
DNAJB9,,,,
DNAJC1,,,,
DNAJC10,,,,
DNAJC11,,,,
DNAJC12,,,,
DNAJC13,,,,
DNAJC14,,,,
DNAJC16,,,,
DNAJC17,,,,
DNAJC18,,,,
DNAJC19,,,,
DNAJC2,,,,
DNAJC21,,,,
DNAJC25,,,,
DNAJC27,,,,
DNAJC28,,,,
DNAJC3,,,,
DNAJC30,,,,
DNAJC4,,,,
DNAJC5,,,,
DNAJC6,,,,
DNAJC7,,,,
DNAJC8,,,,
DNAJC9,,,,
DNASE1L1,,,,
DNM1,,,,
DNM1L,,,,
DNM2,,,,
DNMBP,,,,
DNMT1,,,,
DNMT3A,,,,
DNPH1,,,,
DNTTIP1,,,,
DNTTIP2,,,,
DOCK1,,,,
DOCK10,,,,
DOCK3,,,,
DOCK5,,,,
DOCK6,,,,
DOCK7,,,,
DOCK8,,,,
DOCK9,,,,
DOHH,,,,
DOK1,,,,
DOK3,,,,
DOLPP1,,,,
DONSON,,,,
DOPEY1,,,,
DOPEY2,,,,
DOT1L,,,,
DPAGT1,,,,
DPCD,,,,
DPF2,,,,
DPH1,,,,
DPH3,,,,
DPH5,,,,
DPH6,,,,
DPH7,,,,
DPM1,,,,
DPM3,,,,
DPP10,,,,
DPP3,,,,
DPP4,,,,
DPP6,,,,
DPP7,,,,
DPP8,,,,
DPP9,,,,
DPY19L3,,,,
DPY19L4,,,,
DPY30,,,,
DPYSL2,,,,
DPYSL4,,,,
DPYSL5,,,,
DR1,,,,
DRAM2,,,,
DRG1,,,,
DRG2,,,,
DROSHA,,,,
DSC2,,,,
DSCC1,,,,
DSCR3,,,,
DSG2,,,,
DSN1,,,,
DSP,,,,
DST,,,,
DSTN,,,,
DSTYK,,,,
DTD1,,,,
DTD2,,,,
DTL,,,,
DTNB,,,,
DTNBP1,,,,
DTWD1,,,,
DTWD2,,,,
DTX3,,,,
DTYMK,,,,
DUS1L,,,,
DUS3L,,,,
DUS4L,,,,
DUSP11,,,,
DUSP12,,,,
DUSP22,,,,
DUSP23,,,,
DUSP26,,,,
DUSP3,,,,
DUSP7,,,,
DUSP9,,,,
DUT,,,,
DVL1,,,,
DVL2,,,,
DVL3,,,,
DYM,,,,
DYNC1I2,,,,
DYNC1LI1,,,,
DYNC1LI2,,,,
DYNC2H1,,,,
DYNC2LI1,,,,
DYNLL1,,,,
DYNLL2,,,,
DYNLRB1,,,,
DYNLT3,,,,
DYRK1A,,,,
DYRK1B,,,,
DYRK2,,,,
DZANK1,,,,
DZIP3,,,,
E2F1,,,,
E2F4,,,,
E2F5,,,,
E2F6,,,,
E4F1,,,,
EAF1,,,,
EAPP,,,,
EBAG9,,,,
EBF1,,,,
EBF3,,,,
EBF4,,,,
EBNA1BP2,,,,
EBP,,,,
EBPL,,,,
ECD,,,,
ECEL1,,,,
ECH1,,,,
ECHDC1,,,,
ECHDC3,,,,
ECHS1,,,,
ECI1,,,,
ECI2,,,,
ECSIT,,,,
ECT2,,,,
EDARADD,,,,
EDC3,,,,
EDC4,,,,
EDEM1,,,,
EDEM3,,,,
EDF1,,,,
EDIL3,,,,
EEA1,,,,
EED,,,,
EEF1A1,,,,
EEF1A2,,,,
EEF1B2,,,,
EEF1D,,,,
EEF1E1,,,,
EEF1G,,,,
EEF2,,,,
EEF2K,,,,
EEFSEC,,,,
EFCAB14,,,,
EFCAB7,,,,
EFHC1,,,,
EFHD2,,,,
EFNA5,,,,
EFNB1,,,,
EFNB3,,,,
EFR3B,,,,
EFTUD2,,,,
EGFL7,,,,
EGLN1,,,,
EHBP1,,,,
EHBP1L1,,,,
EHD1,,,,
EHD3,,,,
EHHADH,,,,
EHMT1,,,,
EHMT2,,,,
EI24,,,,
EIF1,,,,
EIF1AD,,,,
EIF1AX,,,,
EIF1AY,,,,
EIF1B,,,,
EIF2A,,,,
EIF2AK3,,,,
EIF2AK4,,,,
EIF2B1,,,,
EIF2B2,,,,
EIF2B3,,,,
EIF2B4,,,,
EIF2B5,,,,
EIF2D,,,,
EIF2S1,,,,
EIF2S2,,,,
EIF2S3,,,,
EIF3A,,,,
EIF3B,,,,
EIF3C,,,,
EIF3D,,,,
EIF3E,,,,
EIF3F,,,,
EIF3G,,,,
EIF3H,,,,
EIF3I,,,,
EIF3J,,,,
EIF3K,,,,
EIF3L,,,,
EIF3M,,,,
EIF4A1,,,,
EIF4A3,,,,
EIF4B,,,,
EIF4E2,,,,
EIF4EBP1,,,,
EIF4EBP2,,,,
EIF4ENIF1,,,,
EIF4G1,,,,
EIF4G2,,,,
EIF4G3,,,,
EIF4H,,,,
EIF5,,,,
EIF5A,,,,
EIF5A2,,,,
EIF5B,,,,
EIF6,,,,
ELAC1,,,,
ELAC2,,,,
ELAVL1,,,,
ELAVL3,,,,
ELAVL4,,,,
ELF2,,,,
ELL,,,,
ELL2,,,,
ELMO2,,,,
ELMO3,,,,
ELMOD2,,,,
ELMSAN1,,,,
ELOF1,,,,
ELOVL1,,,,
ELOVL2,,,,
ELOVL4,,,,
ELOVL5,,,,
ELP2,,,,
ELP3,,,,
ELP4,,,,
ELP5,,,,
ELP6,,,,
EMC1,,,,
EMC10,,,,
EMC2,,,,
EMC3,,,,
EMC4,,,,
EMC6,,,,
EMC8,,,,
EMD,,,,
EME1,,,,
EMID1,,,,
EMILIN3,,,,
EML1,,,,
EML2,,,,
EML3,,,,
EML4,,,,
EML5,,,,
EML6,,,,
ENAH,,,,
ENDOG,,,,
ENGASE,,,,
ENO1,,,,
ENO2,,,,
ENOPH1,,,,
ENOSF1,,,,
ENOX1,,,,
ENPP2,,,,
ENPP4,,,,
ENPP5,,,,
ENSA,,,,
ENTPD3,,,,
ENTPD4,,,,
ENTPD5,,,,
ENTPD7,,,,
ENY2,,,,
EOGT,,,,
EP300,,,,
EP400,,,,
EPB41,,,,
EPB41L4B,,,,
EPB41L5,,,,
EPC1,,,,
EPC2,,,,
EPCAM,,,,
EPDR1,,,,
EPG5,,,,
EPHA4,,,,
EPHB1,,,,
EPHB2,,,,
EPHX1,,,,
EPHX2,,,,
EPM2A,,,,
EPM2AIP1,,,,
EPN1,,,,
EPN2,,,,
EPPK1,,,,
EPRS,,,,
EPS15,,,,
EPS15L1,,,,
EPS8,,,,
EPS8L2,,,,
EPS8L3,,,,
ERAL1,,,,
ERBB3,,,,
ERC1,,,,
ERCC1,,,,
ERCC3,,,,
ERCC4,,,,
ERCC5,,,,
ERCC6,,,,
ERCC6L,,,,
ERCC8,,,,
ERGIC1,,,,
ERGIC2,,,,
ERGIC3,,,,
ERH,,,,
ERI1,,,,
ERI3,,,,
ERICH1,,,,
ERLEC1,,,,
ERLIN1,,,,
ERLIN2,,,,
ERMP1,,,,
ERP29,,,,
ESCO2,,,,
ESD,,,,
ESF1,,,,
ESPL1,,,,
ESPN,,,,
ESRP1,,,,
ESRP2,,,,
ESRRA,,,,
ESYT1,,,,
ESYT2,,,,
ETF1,,,,
ETFA,,,,
ETFB,,,,
ETFDH,,,,
ETHE1,,,,
ETNK1,,,,
ETNK2,,,,
ETS1,,,,
EVA1B,,,,
EVI5,,,,
EVI5L,,,,
EVL,,,,
EWSR1,,,,
EXD2,,,,
EXO1,,,,
EXOC1,,,,
EXOC2,,,,
EXOC3,,,,
EXOC4,,,,
EXOC5,,,,
EXOC6,,,,
EXOC6B,,,,
EXOC7,,,,
EXOC8,,,,
EXOG,,,,
EXOSC1,,,,
EXOSC10,,,,
EXOSC2,,,,
EXOSC3,,,,
EXOSC4,,,,
EXOSC5,,,,
EXOSC6,,,,
EXOSC7,,,,
EXOSC8,,,,
EXT2,,,,
EXTL2,,,,
EXTL3,,,,
EYA3,,,,
EZH1,,,,
F10,,,,
F11R,,,,
F2,,,,
F5,,,,
F7,,,,
F8A2,,,,
FA2H,,,,
FAAH,,,,
FABP5,,,,
FADD,,,,
FADS1,,,,
FADS2,,,,
FADS3,,,,
FAF1,,,,
FAF2,,,,
FAH,,,,
FAHD1,,,,
FAHD2A,,,,
FAIM,,,,
FAM102A,,,,
FAM102B,,,,
FAM103A1,,,,
FAM105A,,,,
FAM107B,,,,
FAM109B,,,,
FAM110A,,,,
FAM110B,,,,
FAM111B,,,,
FAM114A1,,,,
FAM117B,,,,
FAM118B,,,,
FAM120A,,,,
FAM120B,,,,
FAM120C,,,,
FAM122A,,,,
FAM122B,,,,
FAM126A,,,,
FAM126B,,,,
FAM129A,,,,
FAM129B,,,,
FAM136A,,,,
FAM13A,,,,
FAM160A2,,,,
FAM160B1,,,,
FAM161A,,,,
FAM162A,,,,
FAM167A,,,,
FAM168A,,,,
FAM168B,,,,
FAM169A,,,,
FAM171A2,,,,
FAM172A,,,,
FAM173A,,,,
FAM174A,,,,
FAM174B,,,,
FAM177A1,,,,
FAM184A,,,,
FAM185A,,,,
FAM192A,,,,
FAM207A,,,,
FAM208A,,,,
FAM208B,,,,
FAM20B,,,,
FAM210A,,,,
FAM210B,,,,
FAM213A,,,,
FAM213B,,,,
FAM219A,,,,
FAM219B,,,,
FAM221A,,,,
FAM222A,,,,
FAM222B,,,,
FAM32A,,,,
FAM3A,,,,
FAM3C,,,,
FAM49A,,,,
FAM49B,,,,
FAM50A,,,,
FAM50B,,,,
FAM57A,,,,
FAM69A,,,,
FAM69B,,,,
FAM83D,,,,
FAM83F,,,,
FAM83G,,,,
FAM83H,,,,
FAM86B2,,,,
FAM89B,,,,
FAM8A1,,,,
FAM91A1,,,,
FAM96A,,,,
FAM96B,,,,
FAM98A,,,,
FAM98B,,,,
FAM98C,,,,
FANCA,,,,
FANCB,,,,
FANCC,,,,
FANCD2,,,,
FANCE,,,,
FANCF,,,,
FANCG,,,,
FANCI,,,,
FANCL,,,,
FAR1,,,,
FARP1,,,,
FARP2,,,,
FARS2,,,,
FARSA,,,,
FARSB,,,,
FASN,,,,
FASTK,,,,
FASTKD1,,,,
FASTKD2,,,,
FASTKD5,,,,
FAT1,,,,
FAU,,,,
FAXC,,,,
FBL,,,,
FBLIM1,,,,
FBLN1,,,,
FBLN5,,,,
FBP1,,,,
FBRS,,,,
FBRSL1,,,,
FBXL12,,,,
FBXL14,,,,
FBXL15,,,,
FBXL16,,,,
FBXL17,,,,
FBXL18,,,,
FBXL19,,,,
FBXL2,,,,
FBXL20,,,,
FBXL3,,,,
FBXL4,,,,
FBXL6,,,,
FBXO10,,,,
FBXO11,,,,
FBXO17,,,,
FBXO18,,,,
FBXO2,,,,
FBXO21,,,,
FBXO22,,,,
FBXO3,,,,
FBXO30,,,,
FBXO38,,,,
FBXO4,,,,
FBXO41,,,,
FBXO42,,,,
FBXO45,,,,
FBXO9,,,,
FBXW11,,,,
FBXW2,,,,
FBXW4,,,,
FBXW5,,,,
FBXW8,,,,
FBXW9,,,,
FCF1,,,,
FCGRT,,,,
FCHO2,,,,
FCHSD2,,,,
FDFT1,,,,
FDPS,,,,
FDX1,,,,
FDX1L,,,,
FECH,,,,
FEM1A,,,,
FEM1B,,,,
FEN1,,,,
FER,,,,
FERMT2,,,,
FEZ2,,,,
FFAR1,,,,
FFAR2,,,,
FGD1,,,,
FGD4,,,,
FGF12,,,,
FGF14,,,,
FGF2,,,,
FGFR1,,,,
FGFR1OP,,,,
FGFR1OP2,,,,
FGFR3,,,,
FGFR4,,,,
FH,,,,
FHDC1,,,,
FHL1,,,,
FHOD3,,,,
FIBP,,,,
FIG4,,,,
FIGNL1,,,,
FIP1L1,,,,
FIS1,,,,
FITM2,,,,
FIZ1,,,,
FKBP10,,,,
FKBP15,,,,
FKBP1A,,,,
FKBP2,,,,
FKBP3,,,,
FKBP4,,,,
FKBP5,,,,
FKBP7,,,,
FKBP8,,,,
FKBP9,,,,
FKBPL,,,,
FKRP,,,,
FKTN,,,,
FLAD1,,,,
FLCN,,,,
FLII,,,,
FLNA,,,,
FLNB,,,,
FLOT1,,,,
FLOT2,,,,
FLRT3,,,,
