Cluster 1,Cluster 2,Cluster 3,Cluster 1A,Cluster 1B,Cluster 1C,Cluster 2B
HLA-E,DENND2D,RAB26,,TRIM21,,NFKBIA
HLA-F,DENND3,RASD1,,TRIM25,,NKD1
HSH2D,DEPTOR,RASGEF1A,,TRIM38,,NOTCH1
ICAM1,DGKG,RASGRF1,,TRIM5,,NUDCD1
IFI16,DLL1,REEP1,,TRIM56,,OTUD4
IFI27,D0JA1,SERTAD4,,TRIM69,,PARP3
IFI35,DNPEP,SHISA7,,TYMP,,PCDH20
IFI44,DPYD,SIM2,,UNC93B1,,PDXK
IFI44L,DRAM1,SIX5,,USP18,,PHF15
IFI6,DRAP1,SLC26A4,,USP41,,PLA2G16
IFIH1,DRC1,SMLR1,,VNN3,,PLAC8
IFIT1,DUSP16,SMO,,ZNFX1,,PLCD1
IFIT2,DYNLT1,SOX8,,,,PLCH1
IFIT3,ELF1,STEAP3,,,,PLEKHA7
IFIT5,ELK4,SYT2,,,,PLSCR4
IFITM1,ELOVL3,TFCP2L1,,,,PMAIP1
IFITM2,ELOVL7,TGIF1,,,,PODXL
IFITM3,ENDOD1,TMEM72,,,,POU3F2
IF0R2,ENTPD6,TMEM86B,,,,POU4F2
IFRG15,ERAP1,TMEM91,,,,PPA1
IGFLR1,ETS2,TNFSF12,,,,PPFIA2
IKZF4,EXOC3L1,TNN,,,,PPP2R2A
IL15,EXOC3L4,TPRN,,,,PRKCQ
IL1R1,EXOSC9,TRPM8,,,,PRRG4
IL6ST,FAM111A,XPNPEP3,,,,PSMA3
IL8,FAM122C,ZNF177,,,,PSMA4
INPP5D,FAM135A,,,,,PSMA5
IRF1,FAM175A,,,,,PSMA6
IRF7,FAM181B,,,,,PTK2B
IRF8,FAM189B,,,,,PTPRK
IRF9,FAM3B,,,,,PXDC1
ISG15,FAM65B,,,,,QKI
ISG20,FAM83B,,,,,RAB8B
ITIH4,FAM84B,,,,,RAD9A
JUNB,FLT3LG,,,,,RAMP3
KC01,FMN1,,,,,RBM7
KCTD14,FMR1,,,,,RET
L3MBTL4,FRAS1,,,,,RHBDF2
LAD1,FREM1,,,,,RIPK1
LAMP3,FRMD3,,,,,RNF19B
LAP3,FTSJD2,,,,,RNF31
LIPH,GABRA5,,,,,RNF43
LONRF1,GALM,,,,,S100A6
LRRTM2,GANC,,,,,S1PR2
LY6E,GATS,,,,,SAMD4A
MAFF,GCA,,,,,SAT1
MAK,GCNT2,,,,,SCARB2
MLKL,GCNT4,,,,,SCN9A
MT2A,GJC3,,,,,SLC12A7
MTUS1,GLIPR2,,,,,SLC22A4
MVP,GLRX,,,,,SLC38A4
MX1,GMPR,,,,,SMAD1
MX2,GNB4,,,,,SMG7
MYD88,GPM6A,,,,,SMIM14
LIME1,GPR180,,,,,SNX6
DKFZP779J2370,GPR37,,,,,STAP2
